txn_type,txn_id,account,project,amount_minor,memo,true_cost_code
Bill,B-10042,Plant Hire,PRJ-002,760582,Earthworks and plant — Meridian Medical Centre Fitout — Apr 2025,31-23-00
Bill,B-10031,Subcontractors,PRJ-001,1373440,Hydraulic services — Westhaven Warehouse Extension — Apr 2025,22-00-00
Bill,B-10027,Demolition,PRJ-001,959040,Demolition works — Westhaven Warehouse Extension — Apr 2025,02-41-00
Bill,B-10040,Subcontractors,PRJ-002,765673,Hydraulic services — Meridian Medical Centre Fitout — Apr 2025,22-00-00
JournalEntry,PAY-20250428,Wages,PRJ-001,684371,Site payroll allocation — fortnight ending 2025-04-28,01-50-00
JournalEntry,PAY-20250428,Wages,PRJ-002,1115124,Site payroll allocation — fortnight ending 2025-04-28,01-50-00
Bill,B-10053,Subcontractors,PRJ-001,1065600,Hydraulic services — Westhaven Warehouse Extension — May 2025,22-00-00
Bill,B-10064,Plant Hire,PRJ-002,916364,Earthworks and plant — Meridian Medical Centre Fitout — May 2025,31-23-00
Bill,B-10055,Preliminaries,PRJ-002,960023,Site Services — Meridian Medical Centre Fitout — May 2025,01-50-00
Bill,B-10048,Demolition,PRJ-001,799200,Demolition works — Westhaven Warehouse Extension — May 2025,02-41-00
Bill,B-10052,Subcontractors,PRJ-001,843600,Painting package — Westhaven Warehouse Extension — May 2025,09-90-00
Bill,B-10057,Materials,PRJ-002,1557818,Concrete supply — Meridian Medical Centre Fitout — May 2025,03-30-00
JournalEntry,PAY-20250514,Wages,PRJ-001,711114,Site payroll allocation — fortnight ending 2025-05-14,01-50-00
JournalEntry,PAY-20250514,Wages,PRJ-002,950803,Site payroll allocation — fortnight ending 2025-05-14,01-50-00
Bill,B-10051,Subcontractors,PRJ-001,1184000,Partitions and linings — Westhaven Warehouse Extension — May 2025,09-21-00
Bill,B-10061,Subcontractors,PRJ-002,700509,Hydraulic services — Meridian Medical Centre Fitout — May 2025,22-00-00
Bill,B-10058,Materials,PRJ-002,1681018,Structural steel — Meridian Medical Centre Fitout — May 2025,05-12-00
Bill,B-10062,Subcontractors,PRJ-002,977455,Mechanical services — Meridian Medical Centre Fitout — May 2025,23-00-00
Bill,B-10056,Demolition,PRJ-002,690327,Demolition works — Meridian Medical Centre Fitout — May 2025,02-41-00
Bill,B-10063,Subcontractors,PRJ-002,843055,Electrical services — Meridian Medical Centre Fitout — May 2025,26-00-00
Bill,B-10060,Subcontractors,PRJ-002,714764,Painting package — Meridian Medical Centre Fitout — May 2025,09-90-00
Bill,B-10049,Materials,PRJ-001,1924000,Structural steel — Westhaven Warehouse Extension — May 2025,05-12-00
Bill,B-10050,Subcontractors,PRJ-001,947200,Carpentry package — Westhaven Warehouse Extension — May 2025,06-10-00
Bill,B-10054,Plant Hire,PRJ-001,1371960,Earthworks and plant — Westhaven Warehouse Extension — May 2025,31-23-00
JournalEntry,PAY-20250528,Wages,PRJ-001,550116,Site payroll allocation — fortnight ending 2025-05-28,01-50-00
JournalEntry,PAY-20250528,Wages,PRJ-002,1122484,Site payroll allocation — fortnight ending 2025-05-28,01-50-00
Bill,B-10059,Subcontractors,PRJ-002,1402444,Partitions and linings — Meridian Medical Centre Fitout — May 2025,09-21-00
Bill,B-10091,Subcontractors,PRJ-003,795077,Carpentry package — Ashgrove Apartment Refurbishment — Jun 2025,06-10-00
Bill,B-10077,Subcontractors,PRJ-001,1184000,Mechanical services — Westhaven Warehouse Extension — Jun 2025,23-00-00
Bill,B-10070,Preliminaries,PRJ-001,1337920,Site Services — Westhaven Warehouse Extension — Jun 2025,01-50-00
Bill,B-10071,Demolition,PRJ-001,808080,Demolition works — Westhaven Warehouse Extension — Jun 2025,02-41-00
Bill,B-10082,Materials,PRJ-002,1374545,Concrete supply — Meridian Medical Centre Fitout — Jun 2025,03-30-00
Bill,B-10094,Subcontractors,PRJ-003,1195754,Electrical services — Ashgrove Apartment Refurbishment — Jun 2025,26-00-00
Bill,B-10076,Subcontractors,PRJ-001,1266880,Hydraulic services — Westhaven Warehouse Extension — Jun 2025,22-00-00
Bill,B-10090,Materials,PRJ-003,1700000,Structural steel — Ashgrove Apartment Refurbishment — Jun 2025,05-12-00
Bill,B-10093,Subcontractors,PRJ-003,761600,Mechanical services — Ashgrove Apartment Refurbishment — Jun 2025,23-00-00
Bill,B-10088,Demolition,PRJ-003,797169,Demolition works — Ashgrove Apartment Refurbishment — Jun 2025,02-41-00
JournalEntry,PAY-20250614,Wages,PRJ-001,634997,Site payroll allocation — fortnight ending 2025-06-14,01-50-00
JournalEntry,PAY-20250614,Wages,PRJ-002,727173,Site payroll allocation — fortnight ending 2025-06-14,01-50-00
JournalEntry,PAY-20250614,Wages,PRJ-003,772729,Site payroll allocation — fortnight ending 2025-06-14,01-50-00
Bill,B-10085,Subcontractors,PRJ-002,879709,Hydraulic services — Meridian Medical Centre Fitout — Jun 2025,22-00-00
Bill,B-10074,Subcontractors,PRJ-001,1361600,Carpentry package — Westhaven Warehouse Extension — Jun 2025,06-10-00
Bill,B-10080,Preliminaries,PRJ-002,1411119,Site Services — Meridian Medical Centre Fitout — Jun 2025,01-50-00
Bill,B-10087,Plant Hire,PRJ-002,1136291,Earthworks and plant — Meridian Medical Centre Fitout — Jun 2025,31-23-00
Bill,B-10072,Materials,PRJ-001,1953600,Concrete supply — Westhaven Warehouse Extension — Jun 2025,03-30-00
Bill,B-10078,Subcontractors,PRJ-001,1638360,Electrical services — Westhaven Warehouse Extension — Jun 2025,26-00-00
Bill,B-10083,Materials,PRJ-002,1138327,Structural steel — Meridian Medical Centre Fitout — Jun 2025,05-12-00
Bill,B-10089,Materials,PRJ-003,1412308,Concrete supply — Ashgrove Apartment Refurbishment — Jun 2025,03-30-00
Bill,B-10075,Subcontractors,PRJ-001,1672400,Partitions and linings — Westhaven Warehouse Extension — Jun 2025,09-21-00
Bill,B-10081,Demolition,PRJ-002,720873,Demolition works — Meridian Medical Centre Fitout — Jun 2025,02-41-00
Bill,B-10084,Subcontractors,PRJ-002,1807273,Partitions and linings — Meridian Medical Centre Fitout — Jun 2025,09-21-00
Bill,B-10086,Subcontractors,PRJ-002,668945,Electrical services — Meridian Medical Centre Fitout — Jun 2025,26-00-00
Bill,B-10092,Subcontractors,PRJ-003,646523,Painting package — Ashgrove Apartment Refurbishment — Jun 2025,09-90-00
Bill,B-10079,Plant Hire,PRJ-001,1358640,Earthworks and plant — Westhaven Warehouse Extension — Jun 2025,31-23-00
JournalEntry,PAY-20250628,Wages,PRJ-001,829888,Site payroll allocation — fortnight ending 2025-06-28,01-50-00
JournalEntry,PAY-20250628,Wages,PRJ-002,728197,Site payroll allocation — fortnight ending 2025-06-28,01-50-00
JournalEntry,PAY-20250628,Wages,PRJ-003,941879,Site payroll allocation — fortnight ending 2025-06-28,01-50-00
Bill,B-10073,Materials,PRJ-001,1500720,Structural steel — Westhaven Warehouse Extension — Jun 2025,05-12-00
Bill,B-10107,Subcontractors,PRJ-002,741236,Carpentry package — Meridian Medical Centre Fitout — Jul 2025,06-10-00
Bill,B-10117,Subcontractors,PRJ-003,931077,Partitions and linings — Ashgrove Apartment Refurbishment — Jul 2025,09-21-00
Bill,B-10121,Subcontractors,PRJ-003,1186338,Electrical services — Ashgrove Apartment Refurbishment — Jul 2025,26-00-00
Bill,B-10115,Materials,PRJ-003,1020000,Structural steel — Ashgrove Apartment Refurbishment — Jul 2025,05-12-00
Bill,B-10113,Preliminaries,PRJ-003,1004308,Site Services — Ashgrove Apartment Refurbishment — Jul 2025,01-50-00
Bill,B-10122,Plant Hire,PRJ-003,1205169,Earthworks and plant — Ashgrove Apartment Refurbishment — Jul 2025,31-23-00
Bill,B-10108,Subcontractors,PRJ-002,1561484,Partitions and linings — Meridian Medical Centre Fitout — Jul 2025,09-21-00
Bill,B-10109,Subcontractors,PRJ-002,641455,Painting package — Meridian Medical Centre Fitout — Jul 2025,09-90-00
Bill,B-10110,Subcontractors,PRJ-002,904145,Hydraulic services — Meridian Medical Centre Fitout — Jul 2025,22-00-00
Bill,B-10116,Subcontractors,PRJ-003,786708,Carpentry package — Ashgrove Apartment Refurbishment — Jul 2025,06-10-00
JournalEntry,PAY-20250714,Wages,PRJ-001,628159,Site payroll allocation — fortnight ending 2025-07-14,01-50-00
JournalEntry,PAY-20250714,Wages,PRJ-002,1403450,Site payroll allocation — fortnight ending 2025-07-14,01-50-00
JournalEntry,PAY-20250714,Wages,PRJ-003,586623,Site payroll allocation — fortnight ending 2025-07-14,01-50-00
Bill,B-10112,Subcontractors,PRJ-002,953018,Electrical services — Meridian Medical Centre Fitout — Jul 2025,26-00-00
Bill,B-10104,Subcontractors,PRJ-001,1265400,Electrical services — Westhaven Warehouse Extension — Jul 2025,26-00-00
Bill,B-10102,Subcontractors,PRJ-001,1302400,Hydraulic services — Westhaven Warehouse Extension — Jul 2025,22-00-00
Bill,B-10111,Subcontractors,PRJ-002,936727,Mechanical services — Meridian Medical Centre Fitout — Jul 2025,23-00-00
Bill,B-10101,Materials,PRJ-001,1665000,Concrete supply — Westhaven Warehouse Extension — Jul 2025,03-30-00
Bill,B-10105,Demolition,PRJ-002,574255,Demolition works — Meridian Medical Centre Fitout — Jul 2025,02-41-00
Bill,B-10114,Materials,PRJ-003,1459385,Concrete supply — Ashgrove Apartment Refurbishment — Jul 2025,03-30-00
Bill,B-10106,Materials,PRJ-002,1130182,Concrete supply — Meridian Medical Centre Fitout — Jul 2025,03-30-00
Bill,B-10118,Subcontractors,PRJ-003,627692,Painting package — Ashgrove Apartment Refurbishment — Jul 2025,09-90-00
Bill,B-10120,Subcontractors,PRJ-003,887138,Mechanical services — Ashgrove Apartment Refurbishment — Jul 2025,23-00-00
Bill,B-10103,Subcontractors,PRJ-001,1172160,Mechanical services — Westhaven Warehouse Extension — Jul 2025,23-00-00
Bill,B-10119,Subcontractors,PRJ-003,677908,Hydraulic services — Ashgrove Apartment Refurbishment — Jul 2025,22-00-00
JournalEntry,PAY-20250728,Wages,PRJ-001,636473,Site payroll allocation — fortnight ending 2025-07-28,01-50-00
JournalEntry,PAY-20250728,Wages,PRJ-002,1007760,Site payroll allocation — fortnight ending 2025-07-28,01-50-00
JournalEntry,PAY-20250728,Wages,PRJ-003,769738,Site payroll allocation — fortnight ending 2025-07-28,01-50-00
Bill,B-10100,Demolition,PRJ-001,1074480,Demolition works — Westhaven Warehouse Extension — Jul 2025,02-41-00
Bill,B-10139,Subcontractors,PRJ-002,961164,Hydraulic services — Meridian Medical Centre Fitout — Aug 2025,22-00-00
Bill,B-10148,Subcontractors,PRJ-003,895508,Mechanical services — Ashgrove Apartment Refurbishment — Aug 2025,23-00-00
Bill,B-10129,Demolition,PRJ-001,772560,Demolition works — Westhaven Warehouse Extension — Aug 2025,02-41-00
Bill,B-10141,Preliminaries,PRJ-003,1054523,Site Services — Ashgrove Apartment Refurbishment — Aug 2025,01-50-00
Bill,B-10155,Subcontractors,PRJ-004,1502308,Partitions and linings — Murrin Bridge Repair — Aug 2025,09-21-00
Bill,B-10154,Subcontractors,PRJ-004,869908,Carpentry package — Murrin Bridge Repair — Aug 2025,06-10-00
Bill,B-10134,Subcontractors,PRJ-001,1056720,Painting package — Westhaven Warehouse Extension — Aug 2025,09-90-00
Bill,B-10145,Subcontractors,PRJ-003,826462,Partitions and linings — Ashgrove Apartment Refurbishment — Aug 2025,09-21-00
Bill,B-10149,Plant Hire,PRJ-003,856800,Earthworks and plant — Ashgrove Apartment Refurbishment — Aug 2025,31-23-00
JournalEntry,PAY-20250814,Wages,PRJ-001,571006,Site payroll allocation — fortnight ending 2025-08-14,01-50-00
JournalEntry,PAY-20250814,Wages,PRJ-002,956322,Site payroll allocation — fortnight ending 2025-08-14,01-50-00
JournalEntry,PAY-20250814,Wages,PRJ-003,789667,Site payroll allocation — fortnight ending 2025-08-14,01-50-00
JournalEntry,PAY-20250814,Wages,PRJ-004,538956,Site payroll allocation — fortnight ending 2025-08-14,01-50-00
Bill,B-10130,Materials,PRJ-001,2530800,Concrete supply — Westhaven Warehouse Extension — Aug 2025,03-30-00
Bill,B-10147,Subcontractors,PRJ-003,862031,Hydraulic services — Ashgrove Apartment Refurbishment — Aug 2025,22-00-00
Bill,B-10128,Preliminaries,PRJ-001,1503680,Site Services — Westhaven Warehouse Extension — Aug 2025,01-50-00
Bill,B-10136,Subcontractors,PRJ-001,1318680,Electrical services — Westhaven Warehouse Extension — Aug 2025,26-00-00
Bill,B-10143,Materials,PRJ-003,1616308,Concrete supply — Ashgrove Apartment Refurbishment — Aug 2025,03-30-00
Bill,B-10150,Preliminaries,PRJ-004,927138,Site Services — Murrin Bridge Repair — Aug 2025,01-50-00
Bill,B-10133,Subcontractors,PRJ-001,1480000,Partitions and linings — Westhaven Warehouse Extension — Aug 2025,09-21-00
Bill,B-10158,Plant Hire,PRJ-004,1570985,Earthworks and plant — Murrin Bridge Repair — Aug 2025,31-23-00
Bill,B-10156,Subcontractors,PRJ-004,847015,Mechanical services — Murrin Bridge Repair — Aug 2025,23-00-00
Bill,B-10142,Demolition,PRJ-003,464492,Demolition works — Ashgrove Apartment Refurbishment — Aug 2025,02-41-00
Bill,B-10146,Subcontractors,PRJ-003,790892,Painting package — Ashgrove Apartment Refurbishment — Aug 2025,09-90-00
Bill,B-10157,Subcontractors,PRJ-004,1184677,Electrical services — Murrin Bridge Repair — Aug 2025,26-00-00
Bill,B-10131,Materials,PRJ-001,1443000,Structural steel — Westhaven Warehouse Extension — Aug 2025,05-12-00
Bill,B-10151,Demolition,PRJ-004,961477,Demolition works — Murrin Bridge Repair — Aug 2025,02-41-00
Bill,B-10153,Materials,PRJ-004,1581000,Structural steel — Murrin Bridge Repair — Aug 2025,05-12-00
Bill,B-10137,Demolition,PRJ-002,543709,Demolition works — Meridian Medical Centre Fitout — Aug 2025,02-41-00
Bill,B-10140,Plant Hire,PRJ-002,898036,Earthworks and plant — Meridian Medical Centre Fitout — Aug 2025,31-23-00
Bill,B-10132,Subcontractors,PRJ-001,1207680,Carpentry package — Westhaven Warehouse Extension — Aug 2025,06-10-00
Bill,B-10138,Subcontractors,PRJ-002,1373527,Partitions and linings — Meridian Medical Centre Fitout — Aug 2025,09-21-00
Bill,B-10135,Subcontractors,PRJ-001,1326080,Hydraulic services — Westhaven Warehouse Extension — Aug 2025,22-00-00
JournalEntry,PAY-20250828,Wages,PRJ-001,976648,Site payroll allocation — fortnight ending 2025-08-28,01-50-00
JournalEntry,PAY-20250828,Wages,PRJ-002,1148553,Site payroll allocation — fortnight ending 2025-08-28,01-50-00
JournalEntry,PAY-20250828,Wages,PRJ-003,709884,Site payroll allocation — fortnight ending 2025-08-28,01-50-00
JournalEntry,PAY-20250828,Wages,PRJ-004,786782,Site payroll allocation — fortnight ending 2025-08-28,01-50-00
Bill,B-10144,Materials,PRJ-003,1237600,Structural steel — Ashgrove Apartment Refurbishment — Aug 2025,05-12-00
Bill,B-10152,Materials,PRJ-004,2060308,Concrete supply — Murrin Bridge Repair — Aug 2025,03-30-00
Bill,B-10176,Materials,PRJ-002,1204509,Structural steel — Meridian Medical Centre Fitout — Sep 2025,05-12-00
Bill,B-10180,Subcontractors,PRJ-002,1090473,Electrical services — Meridian Medical Centre Fitout — Sep 2025,26-00-00
Bill,B-10165,Materials,PRJ-001,2353200,Concrete supply — Westhaven Warehouse Extension — Sep 2025,03-30-00
Bill,B-10166,Materials,PRJ-001,2347280,Structural steel — Westhaven Warehouse Extension — Sep 2025,05-12-00
Bill,B-10179,Subcontractors,PRJ-002,863418,Mechanical services — Meridian Medical Centre Fitout — Sep 2025,23-00-00
Bill,B-10168,Subcontractors,PRJ-001,1687200,Partitions and linings — Westhaven Warehouse Extension — Sep 2025,09-21-00
Bill,B-10188,Preliminaries,PRJ-004,1281969,Site Services — Murrin Bridge Repair — Sep 2025,01-50-00
Bill,B-10178,Subcontractors,PRJ-002,769745,Painting package — Meridian Medical Centre Fitout — Sep 2025,09-90-00
Bill,B-10192,Subcontractors,PRJ-004,892800,Carpentry package — Murrin Bridge Repair — Sep 2025,06-10-00
Bill,B-10172,Plant Hire,PRJ-001,1012320,Earthworks and plant — Westhaven Warehouse Extension — Sep 2025,31-23-00
Bill,B-10173,Preliminaries,PRJ-002,1330153,Site Services — Meridian Medical Centre Fitout — Sep 2025,01-50-00
Bill,B-10175,Materials,PRJ-002,1512000,Concrete supply — Meridian Medical Centre Fitout — Sep 2025,03-30-00
Bill,B-10170,Subcontractors,PRJ-001,1373440,Mechanical services — Westhaven Warehouse Extension — Sep 2025,23-00-00
Bill,B-10171,Subcontractors,PRJ-001,1611720,Electrical services — Westhaven Warehouse Extension — Sep 2025,26-00-00
Bill,B-10190,Materials,PRJ-004,1588154,Concrete supply — Murrin Bridge Repair — Sep 2025,03-30-00
JournalEntry,PAY-20250914,Wages,PRJ-001,593778,Site payroll allocation — fortnight ending 2025-09-14,01-50-00
JournalEntry,PAY-20250914,Wages,PRJ-002,967486,Site payroll allocation — fortnight ending 2025-09-14,01-50-00
JournalEntry,PAY-20250914,Wages,PRJ-003,560524,Site payroll allocation — fortnight ending 2025-09-14,01-50-00
JournalEntry,PAY-20250914,Wages,PRJ-004,847882,Site payroll allocation — fortnight ending 2025-09-14,01-50-00
Bill,B-10167,Subcontractors,PRJ-001,1266880,Carpentry package — Westhaven Warehouse Extension — Sep 2025,06-10-00
Bill,B-10189,Demolition,PRJ-004,841292,Demolition works — Murrin Bridge Repair — Sep 2025,02-41-00
Bill,B-10182,Materials,PRJ-003,1239692,Concrete supply — Ashgrove Apartment Refurbishment — Sep 2025,03-30-00
Bill,B-10186,Subcontractors,PRJ-003,853662,Hydraulic services — Ashgrove Apartment Refurbishment — Sep 2025,22-00-00
Bill,B-10193,Subcontractors,PRJ-004,806954,Painting package — Murrin Bridge Repair — Sep 2025,09-90-00
Bill,B-10164,Preliminaries,PRJ-001,1018240,Site Services — Westhaven Warehouse Extension — Sep 2025,01-50-00
Bill,B-10187,Subcontractors,PRJ-003,769969,Mechanical services — Ashgrove Apartment Refurbishment — Sep 2025,23-00-00
Bill,B-10194,Subcontractors,PRJ-004,1190400,Hydraulic services — Murrin Bridge Repair — Sep 2025,22-00-00
Bill,B-10196,Subcontractors,PRJ-004,1545231,Electrical services — Murrin Bridge Repair — Sep 2025,26-00-00
Bill,B-10174,Demolition,PRJ-002,445964,Demolition works — Meridian Medical Centre Fitout — Sep 2025,02-41-00
Bill,B-10191,Materials,PRJ-004,2269200,Structural steel — Murrin Bridge Repair — Sep 2025,05-12-00
Bill,B-10185,Subcontractors,PRJ-003,615138,Painting package — Ashgrove Apartment Refurbishment — Sep 2025,09-90-00
Bill,B-10195,Subcontractors,PRJ-004,1396431,Mechanical services — Murrin Bridge Repair — Sep 2025,23-00-00
Bill,B-10177,Subcontractors,PRJ-002,798255,Carpentry package — Meridian Medical Centre Fitout — Sep 2025,06-10-00
Bill,B-10181,Demolition,PRJ-003,671631,Demolition works — Ashgrove Apartment Refurbishment — Sep 2025,02-41-00
Bill,B-10184,Subcontractors,PRJ-003,669538,Carpentry package — Ashgrove Apartment Refurbishment — Sep 2025,06-10-00
JournalEntry,PAY-20250928,Wages,PRJ-001,865755,Site payroll allocation — fortnight ending 2025-09-28,01-50-00
JournalEntry,PAY-20250928,Wages,PRJ-002,754824,Site payroll allocation — fortnight ending 2025-09-28,01-50-00
JournalEntry,PAY-20250928,Wages,PRJ-003,577273,Site payroll allocation — fortnight ending 2025-09-28,01-50-00
JournalEntry,PAY-20250928,Wages,PRJ-004,1048288,Site payroll allocation — fortnight ending 2025-09-28,01-50-00
Bill,B-10169,Subcontractors,PRJ-001,825840,Painting package — Westhaven Warehouse Extension — Sep 2025,09-90-00
Bill,B-10183,Materials,PRJ-003,1332800,Structural steel — Ashgrove Apartment Refurbishment — Sep 2025,05-12-00
Bill,B-10197,Plant Hire,PRJ-004,1545231,Earthworks and plant — Murrin Bridge Repair — Sep 2025,31-23-00
Bill,B-10232,Subcontractors,PRJ-005,931500,Electrical services — Ironbank Industrial Slab — Oct 2025,26-00-00
Bill,B-10222,Subcontractors,PRJ-003,820185,Mechanical services — Ashgrove Apartment Refurbishment — Oct 2025,23-00-00
Bill,B-10224,Preliminaries,PRJ-004,1064492,Site Services — Murrin Bridge Repair — Oct 2025,01-50-00
Bill,B-10228,Subcontractors,PRJ-004,1387846,Partitions and linings — Murrin Bridge Repair — Oct 2025,09-21-00
Bill,B-10230,Preliminaries,PRJ-005,763600,Site Services — Ironbank Industrial Slab — Oct 2025,01-50-00
Bill,B-10221,Subcontractors,PRJ-003,489600,Painting package — Ashgrove Apartment Refurbishment — Oct 2025,09-90-00
Bill,B-10231,Materials,PRJ-005,1931540,Structural steel — Ironbank Industrial Slab — Oct 2025,05-12-00
Bill,B-10220,Subcontractors,PRJ-003,1224000,Partitions and linings — Ashgrove Apartment Refurbishment — Oct 2025,09-21-00
Bill,B-10223,Plant Hire,PRJ-003,1054523,Earthworks and plant — Ashgrove Apartment Refurbishment — Oct 2025,31-23-00
Bill,B-10225,Materials,PRJ-004,1631077,Concrete supply — Murrin Bridge Repair — Oct 2025,03-30-00
Bill,B-10206,Subcontractors,PRJ-001,790320,Painting package — Westhaven Warehouse Extension — Oct 2025,09-90-00
Bill,B-10209,Plant Hire,PRJ-001,1638360,Earthworks and plant — Westhaven Warehouse Extension — Oct 2025,31-23-00
Bill,B-10213,Subcontractors,PRJ-002,635345,Painting package — Meridian Medical Centre Fitout — Oct 2025,09-90-00
JournalEntry,PAY-20251014,Wages,PRJ-001,767946,Site payroll allocation — fortnight ending 2025-10-14,01-50-00
JournalEntry,PAY-20251014,Wages,PRJ-002,1209918,Site payroll allocation — fortnight ending 2025-10-14,01-50-00
JournalEntry,PAY-20251014,Wages,PRJ-003,717160,Site payroll allocation — fortnight ending 2025-10-14,01-50-00
JournalEntry,PAY-20251014,Wages,PRJ-004,765203,Site payroll allocation — fortnight ending 2025-10-14,01-50-00
JournalEntry,PAY-20251014,Wages,PRJ-005,629857,Site payroll allocation — fortnight ending 2025-10-14,01-50-00
Bill,B-10217,Preliminaries,PRJ-003,887138,Site Services — Ashgrove Apartment Refurbishment — Oct 2025,01-50-00
Bill,B-10227,Subcontractors,PRJ-004,1018708,Carpentry package — Murrin Bridge Repair — Oct 2025,06-10-00
Bill,B-10218,Materials,PRJ-003,1088000,Structural steel — Ashgrove Apartment Refurbishment — Oct 2025,05-12-00
Bill,B-10204,Materials,PRJ-001,2308800,Structural steel — Westhaven Warehouse Extension — Oct 2025,05-12-00
Bill,B-10207,Subcontractors,PRJ-001,1266880,Mechanical services — Westhaven Warehouse Extension — Oct 2025,23-00-00
Bill,B-10212,Subcontractors,PRJ-002,953018,Carpentry package — Meridian Medical Centre Fitout — Oct 2025,06-10-00
Bill,B-10214,Subcontractors,PRJ-002,904145,Hydraulic services — Meridian Medical Centre Fitout — Oct 2025,22-00-00
Bill,B-10216,Plant Hire,PRJ-002,971345,Earthworks and plant — Meridian Medical Centre Fitout — Oct 2025,31-23-00
Bill,B-10229,Subcontractors,PRJ-004,1622492,Electrical services — Murrin Bridge Repair — Oct 2025,26-00-00
Bill,B-10233,Plant Hire,PRJ-005,1314450,Earthworks and plant — Ironbank Industrial Slab — Oct 2025,31-23-00
Bill,B-10203,Materials,PRJ-001,2797200,Concrete supply — Westhaven Warehouse Extension — Oct 2025,03-30-00
Bill,B-10208,Subcontractors,PRJ-001,1425240,Electrical services — Westhaven Warehouse Extension — Oct 2025,26-00-00
JournalEntry,PAY-20251028,Wages,PRJ-001,909220,Site payroll allocation — fortnight ending 2025-10-28,01-50-00
