Summit Ridge Construction Pty Ltd,,,,,,,
Transaction Detail by Account,,,,,,,
"February 01, 2025 - July 31, 2026",,,,,,,

Transaction date,Transaction type,Num,Name,Customer/Project,Description,Amount,Balance
11/18/2025,Bill,B-10260,DemoSafe Services,Murrin Bridge Repair,Demolition works — Murrin Bridge Repair — Nov 2025,"$6,867.69","$139,134.56"
11/23/2025,Bill,B-10240,DemoSafe Services,Westhaven Warehouse Extension,Demolition works — Westhaven Warehouse Extension — Nov 2025,"$10,034.40","$149,168.96"
12/06/2025,Bill,B-10282,DemoSafe Services,Meridian Medical Centre Fitout,Demolition works — Meridian Medical Centre Fitout — Dec 2025,"$5,376.00","$154,544.96"
12/11/2025,Bill,B-10300,DemoSafe Services,Murrin Bridge Repair,Demolition works — Murrin Bridge Repair — Dec 2025,"$7,897.85","$162,442.81"
12/22/2025,Bill,B-10291,DemoSafe Services,Ashgrove Apartment Refurbishment,Demolition works — Ashgrove Apartment Refurbishment — Dec 2025,"$8,034.46","$170,477.27"
12/23/2025,Bill,B-10306,DemoSafe Services,Ironbank Industrial Slab,Demolition works — Ironbank Industrial Slab — Dec 2025,"$6,348.00","$176,825.27"
01/15/2026,Bill,B-10327,DemoSafe Services,Ashgrove Apartment Refurbishment,Demolition works — Ashgrove Apartment Refurbishment — Jan 2026,"$5,523.69","$182,348.96"
01/30/2026,Bill,B-10333,DemoSafe Services,Murrin Bridge Repair,Demolition works — Murrin Bridge Repair — Jan 2026,"$10,129.85","$192,478.81"
02/05/2026,Bill,B-10395,DemoSafe Services,Sandstone School Upgrade,Demolition works — Sandstone School Upgrade — Feb 2026,"$6,545.00","$199,023.81"
02/13/2026,Bill,B-10385,DemoSafe Services,Ironbank Industrial Slab,Demolition works — Ironbank Industrial Slab — Feb 2026,"$7,038.00","$206,061.81"
02/25/2026,Bill,B-10370,DemoSafe Services,Ashgrove Apartment Refurbishment,Demolition works — Ashgrove Apartment Refurbishment — Feb 2026,"$5,523.69","$211,585.50"
03/04/2026,Bill,B-10407,DemoSafe Services,Ashgrove Apartment Refurbishment,Demolition works — Ashgrove Apartment Refurbishment — Mar 2026,"$5,272.62","$216,858.12"
03/08/2026,Bill,B-10423,DemoSafe Services,Ironbank Industrial Slab,Demolition works — Ironbank Industrial Slab — Mar 2026,"$7,383.00","$224,241.12"
03/27/2026,Bill,B-10414,DemoSafe Services,Murrin Bridge Repair,Demolition works — Murrin Bridge Repair — Mar 2026,"$6,352.62","$230,593.74"
04/15/2026,Bill,B-10457,DemoSafe Services,Ironbank Industrial Slab,Demolition works — Ironbank Industrial Slab — Apr 2026,"$8,487.00","$239,080.74"
04/19/2026,Bill,B-10463,DemoSafe Services,Sandstone School Upgrade,Demolition works — Sandstone School Upgrade — Apr 2026,"$7,084.00","$246,164.74"
05/14/2026,Bill,B-10488,DemoSafe Services,Murrin Bridge Repair,Demolition works — Murrin Bridge Repair — May 2026,"$9,271.38","$255,436.12"
05/14/2026,Bill,B-10502,DemoSafe Services,Sandstone School Upgrade,Demolition works — Sandstone School Upgrade — May 2026,"$9,009.00","$264,445.12"
05/27/2026,Bill,B-10477,DemoSafe Services,Ashgrove Apartment Refurbishment,Demolition works — Ashgrove Apartment Refurbishment — May 2026,"$5,460.92","$269,906.04"
07/28/2026,Bill,B-10540,DemoSafe Services,Murrin Bridge Repair,Demolition works — Murrin Bridge Repair — Jul 2026,"$10,988.31","$280,894.35"
,,,,,Total for Demolition,"$280,894.35",

GST Payable,,,,,,,
02/04/2025,Bill,B-10004,Axis Interiors,,GST on B-10004,"$1,628.00","$1,628.00"
02/05/2025,Bill,B-10006,Climate Mechanical,,GST on B-10006,"$1,255.04","$2,883.04"
02/05/2025,Bill,B-10011,SecureSure Insurance,,GST on B-10011,$129.14,"$3,012.18"
02/06/2025,Bill,B-10007,CivilWorks Earthmoving,,GST on B-10007,"$1,398.60","$4,410.78"
02/12/2025,Bill,B-10003,Precision Carpentry,,GST on B-10003,$923.52,"$5,334.30"
02/14/2025,Bill,B-10012,FleetFuel Australia,,GST on B-10012,$486.14,"$5,820.44"
02/19/2025,Bill,B-10010,OfficeWorks,,GST on B-10010,$466.41,"$6,286.85"
02/20/2025,Bill,B-10001,Boral Concrete,,GST on B-10001,"$1,642.80","$7,929.65"
02/20/2025,Bill,B-10005,PrimeCo Painting,,GST on B-10005,$959.04,"$8,888.69"
02/22/2025,Bill,B-10002,SteelFab Australia,,GST on B-10002,"$1,443.00","$10,331.69"
03/06/2025,Bill,B-10014,DemoSafe Services,,GST on B-10014,$745.92,"$11,077.61"
03/06/2025,Bill,B-10015,Boral Concrete,,GST on B-10015,"$2,700.63","$13,778.24"
03/06/2025,Bill,B-10020,VoltEdge Electrical,,GST on B-10020,"$1,132.20","$14,910.44"
03/06/2025,Bill,B-10026,FleetFuel Australia,,GST on B-10026,$415.64,"$15,326.08"
03/09/2025,Bill,B-10017,Axis Interiors,,GST on B-10017,"$1,790.80","$17,116.88"
03/11/2025,Bill,B-10018,Flowline Plumbing,,GST on B-10018,"$1,041.92","$18,158.80"
03/12/2025,Bill,B-10013,Site Establishment,,GST on B-10013,"$1,094.17","$19,252.97"
03/13/2025,Bill,B-10021,CivilWorks Earthmoving,,GST on B-10021,"$1,147.31","$20,400.28"
03/14/2025,Bill,B-10025,SecureSure Insurance,,GST on B-10025,$453.22,"$20,853.50"
03/18/2025,Bill,B-10019,Climate Mechanical,,GST on B-10019,"$1,302.40","$22,155.90"
03/20/2025,Bill,B-10024,OfficeWorks,,GST on B-10024,$485.01,"$22,640.91"
03/30/2025,Bill,B-10016,Precision Carpentry,,GST on B-10016,"$1,373.44","$24,014.35"
04/04/2025,Bill,B-10037,SteelFab Australia,,GST on B-10037,"$1,323.64","$25,337.99"
04/04/2025,Bill,B-10041,VoltEdge Electrical,,GST on B-10041,$943.86,"$26,281.85"
04/05/2025,Bill,B-10029,Axis Interiors,,GST on B-10029,"$1,228.40","$27,510.25"
04/05/2025,Bill,B-10047,FleetFuel Australia,,GST on B-10047,$231.38,"$27,741.63"
04/06/2025,Bill,B-10030,PrimeCo Painting,,GST on B-10030,$701.52,"$28,443.15"
04/07/2025,Bill,B-10028,Precision Carpentry,,GST on B-10028,$864.32,"$29,307.47"
04/10/2025,Bill,B-10033,VoltEdge Electrical,,GST on B-10033,"$1,052.28","$30,359.75"
04/10/2025,Bill,B-10036,Boral Concrete,,GST on B-10036,"$1,282.91","$31,642.66"
04/11/2025,Bill,B-10032,Climate Mechanical,,GST on B-10032,"$1,219.52","$32,862.18"
04/12/2025,Bill,B-10035,DemoSafe Services,,GST on B-10035,$586.47,"$33,448.65"
04/12/2025,Bill,B-10039,PrimeCo Painting,,GST on B-10039,$635.35,"$34,084.00"
04/13/2025,Bill,B-10046,SecureSure Insurance,,GST on B-10046,$205.13,"$34,289.13"
04/14/2025,Bill,B-10038,Precision Carpentry,,GST on B-10038,"$1,036.62","$35,325.75"
04/16/2025,Bill,B-10034,CivilWorks Earthmoving,,GST on B-10034,$985.68,"$36,311.43"
04/17/2025,Bill,B-10045,OfficeWorks,,GST on B-10045,$518.24,"$36,829.67"
04/18/2025,Bill,B-10042,CivilWorks Earthmoving,,GST on B-10042,$760.58,"$37,590.25"
04/23/2025,Bill,B-10031,Flowline Plumbing,,GST on B-10031,"$1,373.44","$38,963.69"
04/24/2025,Bill,B-10027,DemoSafe Services,,GST on B-10027,$959.04,"$39,922.73"
04/24/2025,Bill,B-10040,Flowline Plumbing,,GST on B-10040,$765.67,"$40,688.40"
05/04/2025,Bill,B-10053,Flowline Plumbing,,GST on B-10053,"$1,065.60","$41,754.00"
05/04/2025,Bill,B-10064,CivilWorks Earthmoving,,GST on B-10064,$916.36,"$42,670.36"
05/06/2025,Bill,B-10055,Site Establishment,,GST on B-10055,$960.02,"$43,630.38"
05/07/2025,Bill,B-10048,DemoSafe Services,,GST on B-10048,$799.20,"$44,429.58"
05/10/2025,Bill,B-10069,FleetFuel Australia,,GST on B-10069,$427.62,"$44,857.20"
05/12/2025,Bill,B-10052,PrimeCo Painting,,GST on B-10052,$843.60,"$45,700.80"
05/12/2025,Bill,B-10067,OfficeWorks,,GST on B-10067,$418.82,"$46,119.62"
05/13/2025,Bill,B-10057,Boral Concrete,,GST on B-10057,"$1,557.82","$47,677.44"
05/15/2025,Bill,B-10051,Axis Interiors,,GST on B-10051,"$1,184.00","$48,861.44"
05/15/2025,Bill,B-10061,Flowline Plumbing,,GST on B-10061,$713.04,"$49,574.48"
05/19/2025,Bill,B-10068,SecureSure Insurance,,GST on B-10068,$440.05,"$50,014.53"
05/21/2025,Bill,B-10058,SteelFab Australia,,GST on B-10058,"$1,681.02","$51,695.55"
05/21/2025,Bill,B-10062,Climate Mechanical,,GST on B-10062,$977.46,"$52,673.01"
05/23/2025,Bill,B-10056,DemoSafe Services,,GST on B-10056,$690.33,"$53,363.34"
05/23/2025,Bill,B-10063,VoltEdge Electrical,,GST on B-10063,$843.06,"$54,206.40"
05/24/2025,Bill,B-10060,PrimeCo Painting,,GST on B-10060,$714.76,"$54,921.16"
05/25/2025,Bill,B-10049,SteelFab Australia,,GST on B-10049,"$1,924.00","$56,845.16"
05/25/2025,Bill,B-10050,Precision Carpentry,,GST on B-10050,$975.83,"$57,820.99"
05/28/2025,Bill,B-10054,CivilWorks Earthmoving,,GST on B-10054,"$1,371.96","$59,192.95"
05/29/2025,Bill,B-10059,Axis Interiors,,GST on B-10059,"$1,402.44","$60,595.39"
06/06/2025,Bill,B-10091,Precision Carpentry,,GST on B-10091,$795.08,"$61,390.47"
06/07/2025,Bill,B-10077,Climate Mechanical,,GST on B-10077,"$1,184.00","$62,574.47"
06/08/2025,Bill,B-10070,Site Establishment,,GST on B-10070,"$1,337.92","$63,912.39"
06/08/2025,Bill,B-10071,DemoSafe Services,,GST on B-10071,$808.08,"$64,720.47"
06/08/2025,Bill,B-10082,Boral Concrete,,GST on B-10082,"$1,374.55","$66,095.02"
06/08/2025,Bill,B-10099,FleetFuel Australia,,GST on B-10099,$278.76,"$66,373.78"
06/10/2025,Bill,B-10094,VoltEdge Electrical,,GST on B-10094,"$1,195.75","$67,569.53"
06/11/2025,Bill,B-10076,Flowline Plumbing,,GST on B-10076,"$1,266.88","$68,836.41"
06/12/2025,Bill,B-10090,SteelFab Australia,,GST on B-10090,"$1,700.00","$70,536.41"
06/12/2025,Bill,B-10093,Climate Mechanical,,GST on B-10093,$761.60,"$71,298.01"
06/13/2025,Bill,B-10088,DemoSafe Services,,GST on B-10088,$797.17,"$72,095.18"
06/16/2025,Bill,B-10085,Flowline Plumbing,,GST on B-10085,$896.83,"$72,992.01"
06/17/2025,Bill,B-10074,Precision Carpentry,,GST on B-10074,"$1,361.60","$74,353.61"
06/17/2025,Bill,B-10080,Site Establishment,,GST on B-10080,"$1,411.12","$75,764.73"
06/18/2025,Bill,B-10087,CivilWorks Earthmoving,,GST on B-10087,"$1,136.29","$76,901.02"
06/18/2025,Bill,B-10097,OfficeWorks,,GST on B-10097,$334.22,"$77,235.24"
06/19/2025,Bill,B-10072,Boral Concrete,,GST on B-10072,"$1,953.60","$79,188.84"
06/20/2025,Bill,B-10098,SecureSure Insurance,,GST on B-10098,$136.21,"$79,325.05"
06/22/2025,Bill,B-10078,VoltEdge Electrical,,GST on B-10078,"$1,638.36","$80,963.41"
06/23/2025,Bill,B-10083,SteelFab Australia,,GST on B-10083,"$1,138.33","$82,101.74"
06/23/2025,Bill,B-10089,Boral Concrete,,GST on B-10089,"$1,412.31","$83,514.05"
06/24/2025,Bill,B-10075,Axis Interiors,,GST on B-10075,"$1,672.40","$85,186.45"
06/25/2025,Bill,B-10081,DemoSafe Services,,GST on B-10081,$720.87,"$85,907.32"
06/25/2025,Bill,B-10084,Axis Interiors,,GST on B-10084,"$1,831.38","$87,738.70"
06/25/2025,Bill,B-10086,VoltEdge Electrical,,GST on B-10086,$668.95,"$88,407.65"
06/26/2025,Bill,B-10092,PrimeCo Painting,,GST on B-10092,$646.52,"$89,054.17"
06/28/2025,Bill,B-10079,CivilWorks Earthmoving,,GST on B-10079,"$1,358.64","$90,412.81"
06/29/2025,Bill,B-10073,SteelFab Australia,,GST on B-10073,"$1,500.72","$91,913.53"
07/04/2025,Bill,B-10107,Precision Carpentry,,GST on B-10107,$741.24,"$92,654.77"
07/04/2025,Bill,B-10117,Axis Interiors,,GST on B-10117,$931.08,"$93,585.85"
07/04/2025,Bill,B-10121,VoltEdge Electrical,,GST on B-10121,"$1,186.34","$94,772.19"
07/05/2025,Bill,B-10115,SteelFab Australia,,GST on B-10115,"$1,020.00","$95,792.19"
07/06/2025,Bill,B-10113,Site Establishment,,GST on B-10113,"$1,004.31","$96,796.50"
07/06/2025,Bill,B-10122,CivilWorks Earthmoving,,GST on B-10122,"$1,205.17","$98,001.67"
07/07/2025,Bill,B-10108,Axis Interiors,,GST on B-10108,"$1,561.48","$99,563.15"
07/08/2025,Bill,B-10109,PrimeCo Painting,,GST on B-10109,$641.46,"$100,204.61"
07/09/2025,Bill,B-10110,Flowline Plumbing,,GST on B-10110,$904.15,"$101,108.76"
07/12/2025,Bill,B-10116,Precision Carpentry,,GST on B-10116,$786.71,"$101,895.47"
07/15/2025,Bill,B-10112,VoltEdge Electrical,,GST on B-10112,$953.02,"$102,848.49"
07/17/2025,Bill,B-10104,VoltEdge Electrical,,GST on B-10104,"$1,265.40","$104,113.89"
07/18/2025,Bill,B-10102,Flowline Plumbing,,GST on B-10102,"$1,302.40","$105,416.29"
07/18/2025,Bill,B-10111,Climate Mechanical,,GST on B-10111,$936.73,"$106,353.02"
07/18/2025,Bill,B-10125,OfficeWorks,,GST on B-10125,$272.43,"$106,625.45"
07/19/2025,Bill,B-10127,FleetFuel Australia,,GST on B-10127,$220.32,"$106,845.77"
07/20/2025,Bill,B-10101,Boral Concrete,,GST on B-10101,"$1,665.00","$108,510.77"
07/20/2025,Bill,B-10105,DemoSafe Services,,GST on B-10105,$574.26,"$109,085.03"
07/21/2025,Bill,B-10126,SecureSure Insurance,,GST on B-10126,$488.99,"$109,574.02"
07/22/2025,Bill,B-10114,Boral Concrete,,GST on B-10114,"$1,459.39","$111,033.41"
07/23/2025,Bill,B-10106,Boral Concrete,,GST on B-10106,"$1,130.18","$112,163.59"
07/23/2025,Bill,B-10118,PrimeCo Painting,,GST on B-10118,$654.74,"$112,818.33"
07/23/2025,Bill,B-10120,Climate Mechanical,,GST on B-10120,$887.14,"$113,705.47"
07/26/2025,Bill,B-10103,Climate Mechanical,,GST on B-10103,"$1,172.16","$114,877.63"
07/27/2025,Bill,B-10119,Flowline Plumbing,,GST on B-10119,$677.91,"$115,555.54"
07/30/2025,Bill,B-10100,DemoSafe Services,,GST on B-10100,"$1,074.48","$116,630.02"
08/04/2025,Bill,B-10139,Flowline Plumbing,,GST on B-10139,$961.16,"$117,591.18"
08/04/2025,Bill,B-10161,OfficeWorks,,GST on B-10161,$216.20,"$117,807.38"
08/06/2025,Bill,B-10148,Climate Mechanical,,GST on B-10148,$895.51,"$118,702.89"
08/08/2025,Bill,B-10129,DemoSafe Services,,GST on B-10129,$772.56,"$119,475.45"
08/08/2025,Bill,B-10141,Site Establishment,,GST on B-10141,"$1,054.52","$120,529.97"
08/08/2025,Bill,B-10155,Axis Interiors,,GST on B-10155,"$1,502.31","$122,032.28"
08/09/2025,Bill,B-10154,Precision Carpentry,,GST on B-10154,$869.91,"$122,902.19"
08/10/2025,Bill,B-10134,PrimeCo Painting,,GST on B-10134,"$1,056.72","$123,958.91"
08/10/2025,Bill,B-10163,FleetFuel Australia,,GST on B-10163,$138.52,"$124,097.43"
08/12/2025,Bill,B-10145,Axis Interiors,,GST on B-10145,$826.46,"$124,923.89"
08/13/2025,Bill,B-10162,SecureSure Insurance,,GST on B-10162,$387.07,"$125,310.96"
08/14/2025,Bill,B-10149,CivilWorks Earthmoving,,GST on B-10149,$856.80,"$126,167.76"
08/15/2025,Bill,B-10130,Boral Concrete,,GST on B-10130,"$2,530.80","$128,698.56"
08/15/2025,Bill,B-10147,Flowline Plumbing,,GST on B-10147,$862.03,"$129,560.59"
08/16/2025,Bill,B-10128,Site Establishment,,GST on B-10128,"$1,503.68","$131,064.27"
08/17/2025,Bill,B-10136,VoltEdge Electrical,,GST on B-10136,"$1,318.68","$132,382.95"
08/18/2025,Bill,B-10143,Boral Concrete,,GST on B-10143,"$1,616.31","$133,999.26"
08/18/2025,Bill,B-10150,Site Establishment,,GST on B-10150,$927.14,"$134,926.40"
08/19/2025,Bill,B-10133,Axis Interiors,,GST on B-10133,"$1,480.00","$136,406.40"
08/19/2025,Bill,B-10158,CivilWorks Earthmoving,,GST on B-10158,"$1,570.99","$137,977.39"
08/20/2025,Bill,B-10156,Climate Mechanical,,GST on B-10156,$847.02,"$138,824.41"
08/23/2025,Bill,B-10142,DemoSafe Services,,GST on B-10142,$464.49,"$139,288.90"
08/23/2025,Bill,B-10146,PrimeCo Painting,,GST on B-10146,$790.89,"$140,079.79"
08/23/2025,Bill,B-10157,VoltEdge Electrical,,GST on B-10157,"$1,184.68","$141,264.47"
08/24/2025,Bill,B-10131,SteelFab Australia,,GST on B-10131,"$1,443.00","$142,707.47"
08/24/2025,Bill,B-10151,DemoSafe Services,,GST on B-10151,$961.48,"$143,668.95"
08/24/2025,Bill,B-10153,SteelFab Australia,,GST on B-10153,"$1,581.00","$145,249.95"
08/25/2025,Bill,B-10137,DemoSafe Services,,GST on B-10137,$585.00,"$145,834.95"
08/25/2025,Bill,B-10140,CivilWorks Earthmoving,,GST on B-10140,$898.04,"$146,732.99"
08/26/2025,Bill,B-10132,Precision Carpentry,,GST on B-10132,"$1,207.68","$147,940.67"
08/26/2025,Bill,B-10138,Axis Interiors,,GST on B-10138,"$1,373.53","$149,314.20"
08/28/2025,Bill,B-10135,Flowline Plumbing,,GST on B-10135,"$1,326.08","$150,640.28"
08/30/2025,Bill,B-10144,SteelFab Australia,,GST on B-10144,"$1,237.60","$151,877.88"
08/30/2025,Bill,B-10152,Boral Concrete,,GST on B-10152,"$2,060.31","$153,938.19"
09/04/2025,Bill,B-10176,SteelFab Australia,,GST on B-10176,"$1,204.51","$155,142.70"
09/04/2025,Bill,B-10180,VoltEdge Electrical,,GST on B-10180,"$1,090.47","$156,233.17"
09/05/2025,Bill,B-10165,Boral Concrete,,GST on B-10165,"$2,353.20","$158,586.37"
09/06/2025,Bill,B-10166,SteelFab Australia,,GST on B-10166,"$2,347.28","$160,933.65"
09/06/2025,Bill,B-10179,Climate Mechanical,,GST on B-10179,$863.42,"$161,797.07"
09/07/2025,Bill,B-10168,Axis Interiors,,GST on B-10168,"$1,687.20","$163,484.27"
09/07/2025,Bill,B-10188,Site Establishment,,GST on B-10188,"$1,281.97","$164,766.24"
09/08/2025,Bill,B-10178,PrimeCo Painting,,GST on B-10178,$769.75,"$165,535.99"
09/08/2025,Bill,B-10192,Precision Carpentry,,GST on B-10192,$892.80,"$166,428.79"
09/10/2025,Bill,B-10172,CivilWorks Earthmoving,,GST on B-10172,"$1,012.32","$167,441.11"
09/10/2025,Bill,B-10173,Site Establishment,,GST on B-10173,"$1,371.03","$168,812.14"
09/10/2025,Bill,B-10175,Boral Concrete,,GST on B-10175,"$1,512.00","$170,324.14"
09/10/2025,Bill,B-10201,SecureSure Insurance,,GST on B-10201,$411.71,"$170,735.85"
09/11/2025,Bill,B-10170,Climate Mechanical,,GST on B-10170,"$1,373.44","$172,109.29"
09/13/2025,Bill,B-10171,VoltEdge Electrical,,GST on B-10171,"$1,611.72","$173,721.01"
09/13/2025,Bill,B-10190,Boral Concrete,,GST on B-10190,"$1,588.15","$175,309.16"
09/15/2025,Bill,B-10167,Precision Carpentry,,GST on B-10167,"$1,266.88","$176,576.04"
09/15/2025,Bill,B-10189,DemoSafe Services,,GST on B-10189,$841.29,"$177,417.33"
09/17/2025,Bill,B-10182,Boral Concrete,,GST on B-10182,"$1,239.69","$178,657.02"
09/18/2025,Bill,B-10186,Flowline Plumbing,,GST on B-10186,$866.61,"$179,523.63"
09/18/2025,Bill,B-10193,PrimeCo Painting,,GST on B-10193,$806.95,"$180,330.58"
09/18/2025,Bill,B-10200,OfficeWorks,,GST on B-10200,$192.60,"$180,523.18"
09/19/2025,Bill,B-10164,Site Establishment,,GST on B-10164,"$1,018.24","$181,541.42"
09/19/2025,Bill,B-10187,Climate Mechanical,,GST on B-10187,$769.97,"$182,311.39"
09/19/2025,Bill,B-10202,FleetFuel Australia,,GST on B-10202,$348.19,"$182,659.58"
09/20/2025,Bill,B-10194,Flowline Plumbing,,GST on B-10194,"$1,190.40","$183,849.98"
09/20/2025,Bill,B-10196,VoltEdge Electrical,,GST on B-10196,"$1,545.23","$185,395.21"
09/21/2025,Bill,B-10174,DemoSafe Services,,GST on B-10174,$445.96,"$185,841.17"
09/23/2025,Bill,B-10191,SteelFab Australia,,GST on B-10191,"$2,269.20","$188,110.37"
09/25/2025,Bill,B-10185,PrimeCo Painting,,GST on B-10185,$615.14,"$188,725.51"
09/25/2025,Bill,B-10195,Climate Mechanical,,GST on B-10195,"$1,396.43","$190,121.94"
09/28/2025,Bill,B-10177,Precision Carpentry,,GST on B-10177,$798.26,"$190,920.20"
09/28/2025,Bill,B-10181,DemoSafe Services,,GST on B-10181,$671.63,"$191,591.83"
09/28/2025,Bill,B-10184,Precision Carpentry,,GST on B-10184,$669.54,"$192,261.37"
09/29/2025,Bill,B-10169,PrimeCo Painting,,GST on B-10169,$825.84,"$193,087.21"
09/29/2025,Bill,B-10183,SteelFab Australia,,GST on B-10183,"$1,332.80","$194,420.01"
09/29/2025,Bill,B-10197,CivilWorks Earthmoving,,GST on B-10197,"$1,545.23","$195,965.24"
10/02/2025,Bill,B-10238,FleetFuel Australia,,GST on B-10238,$479.17,"$196,444.41"
10/05/2025,Bill,B-10232,VoltEdge Electrical,,GST on B-10232,$931.50,"$197,375.91"
10/06/2025,Bill,B-10222,Climate Mechanical,,GST on B-10222,$820.19,"$198,196.10"
10/07/2025,Bill,B-10224,Site Establishment,,GST on B-10224,"$1,064.49","$199,260.59"
10/07/2025,Bill,B-10228,Axis Interiors,,GST on B-10228,"$1,387.85","$200,648.44"
10/07/2025,Bill,B-10230,Site Establishment,,GST on B-10230,$763.60,"$201,412.04"
10/08/2025,Bill,B-10221,PrimeCo Painting,,GST on B-10221,$489.60,"$201,901.64"
10/08/2025,Bill,B-10231,SteelFab Australia,,GST on B-10231,"$1,931.54","$203,833.18"
10/09/2025,Bill,B-10220,Axis Interiors,,GST on B-10220,"$1,224.00","$205,057.18"
10/09/2025,Bill,B-10223,CivilWorks Earthmoving,,GST on B-10223,"$1,054.52","$206,111.70"
10/12/2025,Bill,B-10225,Boral Concrete,,GST on B-10225,"$1,631.08","$207,742.78"
10/14/2025,Bill,B-10206,PrimeCo Painting,,GST on B-10206,$790.32,"$208,533.10"
10/14/2025,Bill,B-10209,CivilWorks Earthmoving,,GST on B-10209,"$1,664.12","$210,197.22"
10/14/2025,Bill,B-10213,PrimeCo Painting,,GST on B-10213,$635.35,"$210,832.57"
10/15/2025,Bill,B-10217,Site Establishment,,GST on B-10217,$887.14,"$211,719.71"
10/15/2025,Bill,B-10227,Precision Carpentry,,GST on B-10227,"$1,018.71","$212,738.42"
10/16/2025,Bill,B-10218,SteelFab Australia,,GST on B-10218,"$1,088.00","$213,826.42"
10/17/2025,Bill,B-10204,SteelFab Australia,,GST on B-10204,"$2,308.80","$216,135.22"
10/19/2025,Bill,B-10207,Climate Mechanical,,GST on B-10207,"$1,266.88","$217,402.10"
10/20/2025,Bill,B-10236,OfficeWorks,,GST on B-10236,$226.23,"$217,628.33"
10/20/2025,Bill,B-10237,SecureSure Insurance,,GST on B-10237,$414.52,"$218,042.85"
10/21/2025,Bill,B-10212,Precision Carpentry,,GST on B-10212,$953.02,"$218,995.87"
10/23/2025,Bill,B-10214,Flowline Plumbing,,GST on B-10214,$904.15,"$219,900.02"
10/23/2025,Bill,B-10216,CivilWorks Earthmoving,,GST on B-10216,$971.35,"$220,871.37"
10/23/2025,Bill,B-10229,VoltEdge Electrical,,GST on B-10229,"$1,622.49","$222,493.86"
10/23/2025,Bill,B-10233,CivilWorks Earthmoving,,GST on B-10233,"$1,314.45","$223,808.31"
10/25/2025,Bill,B-10203,Boral Concrete,,GST on B-10203,"$2,797.20","$226,605.51"
10/28/2025,Bill,B-10208,VoltEdge Electrical,,GST on B-10208,"$1,425.24","$228,030.75"
10/29/2025,Bill,B-10205,Precision Carpentry,,GST on B-10205,$947.20,"$228,977.95"
